MENU,RESTO YANG MENYEDIAKAN MENU
Nabe,Silla Korean & Japanese Restaurant
Shabu-Shabu,Silla Korean & Japanese Restaurant
Sukiyaki,Silla Korean & Japanese Restaurant
Teriyaki,Silla Korean & Japanese Restaurant
Unagi,Silla Korean & Japanese Restaurant
Tamagoyaki,Silla Korean & Japanese Restaurant
Mochi.,Silla Korean & Japanese Restaurant
Korean,Silla Korean & Japanese Restaurant
Sushi,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Sashimi,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Tempura,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Ramen,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Udon,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Soba,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Okonomiyaki,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Takoyaki,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Tonkatsu,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Yakitori,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Gyoza,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Onigiri,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Miso Soup,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Nabe,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Shabu-Shabu,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Sukiyaki,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Teriyaki,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Unagi,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Tamagoyaki,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Mochi.,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Snacks,"Aqori Angkringan Jepang, Kuliner Lor Tugu"
Minuman,Bakso Urat dan Mie Ayam Krowal Krowel
Bakso,Bakso Urat dan Mie Ayam Krowal Krowel
Soto,Bakso Urat dan Mie Ayam Krowal Krowel
Bakmie,Bakso Urat dan Mie Ayam Krowal Krowel
Minuman,Bubur Ayam Bang Opik
Cepat saji,Bubur Ayam Bang Opik
Dimsum,Bubur Ayam Bang Opik
Bebek Peking,Bubur Ayam Bang Opik
Cow Mein,Bubur Ayam Bang Opik
Wonton Soup,Bubur Ayam Bang Opik
nasi hainan,Bubur Ayam Bang Opik
Spring Rolls,Bubur Ayam Bang Opik
Lo Mein,Bubur Ayam Bang Opik
Congee,Bubur Ayam Bang Opik
Bakpao,Bubur Ayam Bang Opik
Lumpia,Bubur Ayam Bang Opik
Capcay,Bubur Ayam Bang Opik
Kwetiau,Bubur Ayam Bang Opik
Fuyunghai,Bubur Ayam Bang Opik
Sapo Tahu,Bubur Ayam Bang Opik
 Bakmi,Bubur Ayam Bang Opik
Ayam Kungpao,Bubur Ayam Bang Opik
Angsio Tahu,Bubur Ayam Bang Opik
Ayam Koloke,Bubur Ayam Bang Opik
Siomay,Bubur Ayam Bang Opik
I Fu Mie,Bubur Ayam Bang Opik
nasi goreng seafood chinese,Bubur Ayam Bang Opik
Rice,"Sun Rice Bowl, Panggungharjo"
Chicken & duck,"Sun Rice Bowl, Panggungharjo"
Sushi,"Sun Rice Bowl, Panggungharjo"
Sashimi,"Sun Rice Bowl, Panggungharjo"
Tempura,"Sun Rice Bowl, Panggungharjo"
Ramen,"Sun Rice Bowl, Panggungharjo"
Udon,"Sun Rice Bowl, Panggungharjo"
Soba,"Sun Rice Bowl, Panggungharjo"
Okonomiyaki,"Sun Rice Bowl, Panggungharjo"
Takoyaki,"Sun Rice Bowl, Panggungharjo"
Tonkatsu,"Sun Rice Bowl, Panggungharjo"
Yakitori,"Sun Rice Bowl, Panggungharjo"
Gyoza,"Sun Rice Bowl, Panggungharjo"
Onigiri,"Sun Rice Bowl, Panggungharjo"
Miso Soup,"Sun Rice Bowl, Panggungharjo"
Nabe,"Sun Rice Bowl, Panggungharjo"
Shabu-Shabu,"Sun Rice Bowl, Panggungharjo"
Sukiyaki,"Sun Rice Bowl, Panggungharjo"
Teriyaki,"Sun Rice Bowl, Panggungharjo"
Unagi,"Sun Rice Bowl, Panggungharjo"
Tamagoyaki,"Sun Rice Bowl, Panggungharjo"
Mochi,"Sun Rice Bowl, Panggungharjo"
Sate,"Sate Kambing Pak Tomek, Ngentak"
Aneka nasi,"Sate Kambing Pak Tomek, Ngentak"
Bakso,"Sate Kambing Pak Tomek, Ngentak"
Soto,"Sate Kambing Pak Tomek, Ngentak"
Seafood,"Seafood 99, Sorogenen"
Aneka nasi,"Seafood 99, Sorogenen"
Dimsum,"Seafood 99, Sorogenen"
Bebek Peking,"Seafood 99, Sorogenen"
Cow Mein,"Seafood 99, Sorogenen"
Wonton Soup,"Seafood 99, Sorogenen"
nasi hainan,"Seafood 99, Sorogenen"
Spring Rolls,"Seafood 99, Sorogenen"
Lo Mein,"Seafood 99, Sorogenen"
Congee,"Seafood 99, Sorogenen"
Bakpao,"Seafood 99, Sorogenen"
Lumpia,"Seafood 99, Sorogenen"
Capcay,"Seafood 99, Sorogenen"
Kwetiau,"Seafood 99, Sorogenen"
Fuyunghai,"Seafood 99, Sorogenen"
Sapo Tahu,"Seafood 99, Sorogenen"
 Bakmi,"Seafood 99, Sorogenen"
Ayam Kungpao,"Seafood 99, Sorogenen"
Angsio Tahu,"Seafood 99, Sorogenen"
Ayam Koloke,"Seafood 99, Sorogenen"
Siomay,"Seafood 99, Sorogenen"
I Fu Mie,"Seafood 99, Sorogenen"
nasi goreng seafood chinese,"Seafood 99, Sorogenen"
Snacks,"Lawson Shop, Imogiri Barat"
Beverages,"Lawson Shop, Imogiri Barat"
Sushi,"Lawson Shop, Imogiri Barat"
Sashimi,"Lawson Shop, Imogiri Barat"
Tempura,"Lawson Shop, Imogiri Barat"
Ramen,"Lawson Shop, Imogiri Barat"
Udon,"Lawson Shop, Imogiri Barat"
Soba,"Lawson Shop, Imogiri Barat"
Okonomiyaki,"Lawson Shop, Imogiri Barat"
Takoyaki,"Lawson Shop, Imogiri Barat"
Tonkatsu,"Lawson Shop, Imogiri Barat"
Yakitori,"Lawson Shop, Imogiri Barat"
Gyoza,"Lawson Shop, Imogiri Barat"
Onigiri,"Lawson Shop, Imogiri Barat"
Miso Soup,"Lawson Shop, Imogiri Barat"
Nabe,"Lawson Shop, Imogiri Barat"
Shabu-Shabu,"Lawson Shop, Imogiri Barat"
Sukiyaki,"Lawson Shop, Imogiri Barat"
Teriyaki,"Lawson Shop, Imogiri Barat"
Unagi,"Lawson Shop, Imogiri Barat"
Tamagoyaki,"Lawson Shop, Imogiri Barat"
Mochi,"Lawson Shop, Imogiri Barat"
Coffee,"Lawson Shop, Imogiri Barat"
Korean,"Lawson Shop, Imogiri Barat"
Snacks,"Lawson Shop, Sorowajan"
Beverages,"Lawson Shop, Sorowajan"
Sushi,"Lawson Shop, Sorowajan"
Sashimi,"Lawson Shop, Sorowajan"
Tempura,"Lawson Shop, Sorowajan"
Ramen,"Lawson Shop, Sorowajan"
Udon,"Lawson Shop, Sorowajan"
Soba,"Lawson Shop, Sorowajan"
Okonomiyaki,"Lawson Shop, Sorowajan"
Takoyaki,"Lawson Shop, Sorowajan"
Tonkatsu,"Lawson Shop, Sorowajan"
Yakitori,"Lawson Shop, Sorowajan"
Gyoza,"Lawson Shop, Sorowajan"
Onigiri,"Lawson Shop, Sorowajan"
Miso Soup,"Lawson Shop, Sorowajan"
Nabe,"Lawson Shop, Sorowajan"
Shabu-Shabu,"Lawson Shop, Sorowajan"
Sukiyaki,"Lawson Shop, Sorowajan"
Teriyaki,"Lawson Shop, Sorowajan"
Unagi,"Lawson Shop, Sorowajan"
Tamagoyaki,"Lawson Shop, Sorowajan"
Mochi,"Lawson Shop, Sorowajan"
Coffee,"Lawson Shop, Sorowajan"
Korean,"Lawson Shop, Sorowajan"
Fast food,"Burgerax, Gedongkuning"
Burger,"Burgerax, Gedongkuning"
Steak,"Burgerax, Gedongkuning"
Pizza,"Burgerax, Gedongkuning"
Pasta,"Burgerax, Gedongkuning"
Fish and Chips,"Burgerax, Gedongkuning"
Caesar Salad,"Burgerax, Gedongkuning"
French Fries,"Burgerax, Gedongkuning"
Chicken Wings,"Burgerax, Gedongkuning"
Grilled Cheese Sandwich,"Burgerax, Gedongkuning"
Tacos,"Burgerax, Gedongkuning"
Lasagna,"Burgerax, Gedongkuning"
Ribs,"Burgerax, Gedongkuning"
Nachos,"Burgerax, Gedongkuning"
Mac and Cheese,"Burgerax, Gedongkuning"
Quesadilla,"Burgerax, Gedongkuning"
Hot Dog,"Burgerax, Gedongkuning"
Meatloaf,"Burgerax, Gedongkuning"
Buffalo Wings,"Burgerax, Gedongkuning"
Chicken Parmesan,"Burgerax, Gedongkuning"
Clam Chowder,"Burgerax, Gedongkuning"
Steak,"Hawker's Steak, JEC"
Pizza,"Hawker's Steak, JEC"
Burger,"Hawker's Steak, JEC"
Pasta,"Hawker's Steak, JEC"
Fish and Chips,"Hawker's Steak, JEC"
Caesar Salad,"Hawker's Steak, JEC"
French Fries,"Hawker's Steak, JEC"
Chicken Wings,"Hawker's Steak, JEC"
Grilled Cheese Sandwich,"Hawker's Steak, JEC"
Tacos,"Hawker's Steak, JEC"
Lasagna,"Hawker's Steak, JEC"
Ribs,"Hawker's Steak, JEC"
Nachos,"Hawker's Steak, JEC"
Mac and Cheese,"Hawker's Steak, JEC"
Quesadilla,"Hawker's Steak, JEC"
Hot Dog,"Hawker's Steak, JEC"
Meatloaf,"Hawker's Steak, JEC"
Buffalo Wings,"Hawker's Steak, JEC"
Chicken Parmesan,"Hawker's Steak, JEC"
Clam Chowder,"Hawker's Steak, JEC"
Pizza,"Pizza Aroma Italia 2, Gondokusuman"
Burger,"Pizza Aroma Italia 2, Gondokusuman"
Steak,"Pizza Aroma Italia 2, Gondokusuman"
Pasta,"Pizza Aroma Italia 2, Gondokusuman"
Fish and Chips,"Pizza Aroma Italia 2, Gondokusuman"
Caesar Salad,"Pizza Aroma Italia 2, Gondokusuman"
French Fries,"Pizza Aroma Italia 2, Gondokusuman"
Chicken Wings,"Pizza Aroma Italia 2, Gondokusuman"
Grilled Cheese Sandwich,"Pizza Aroma Italia 2, Gondokusuman"
Tacos,"Pizza Aroma Italia 2, Gondokusuman"
Lasagna,"Pizza Aroma Italia 2, Gondokusuman"
Ribs,"Pizza Aroma Italia 2, Gondokusuman"
Nachos,"Pizza Aroma Italia 2, Gondokusuman"
Mac and Cheese,"Pizza Aroma Italia 2, Gondokusuman"
Quesadilla,"Pizza Aroma Italia 2, Gondokusuman"
Hot Dog,"Pizza Aroma Italia 2, Gondokusuman"
Meatloaf,"Pizza Aroma Italia 2, Gondokusuman"
Buffalo Wings,"Pizza Aroma Italia 2, Gondokusuman"
Chicken Parmesan,"Pizza Aroma Italia 2, Gondokusuman"
Clam Chowder,"Pizza Aroma Italia 2, Gondokusuman"
Pizza & pasta,"Pizza Aroma Italia 2, Gondokusuman"
Aneka nasi,"Blengerr, Hayam Wuruk"
Ayam & bebek,"Blengerr, Hayam Wuruk"
Dimsum,"Blengerr, Hayam Wuruk"
Bebek Peking,"Blengerr, Hayam Wuruk"
Cow Mein,"Blengerr, Hayam Wuruk"
Wonton Soup,"Blengerr, Hayam Wuruk"
nasi hainan,"Blengerr, Hayam Wuruk"
Spring Rolls,"Blengerr, Hayam Wuruk"
Lo Mein,"Blengerr, Hayam Wuruk"
Congee,"Blengerr, Hayam Wuruk"
Bakpao,"Blengerr, Hayam Wuruk"
Lumpia,"Blengerr, Hayam Wuruk"
Capcay,"Blengerr, Hayam Wuruk"
Kwetiau,"Blengerr, Hayam Wuruk"
Fuyunghai,"Blengerr, Hayam Wuruk"
Sapo Tahu,"Blengerr, Hayam Wuruk"
 Bakmi,"Blengerr, Hayam Wuruk"
Ayam Kungpao,"Blengerr, Hayam Wuruk"
Angsio Tahu,"Blengerr, Hayam Wuruk"
Ayam Koloke,"Blengerr, Hayam Wuruk"
Siomay,"Blengerr, Hayam Wuruk"
I Fu Mie,"Blengerr, Hayam Wuruk"
nasi goreng seafood chinese,"Blengerr, Hayam Wuruk"
Nasi goreng,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Bakmie,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Dimsum,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Bebek Peking,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Cow Mein,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Wonton Soup,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
nasi hainan,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Spring Rolls,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Lo Mein,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Congee,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Bakpao,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Lumpia,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Capcay,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Kwetiau,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Fuyunghai,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Sapo Tahu,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
 Bakmi,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Ayam Kungpao,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Angsio Tahu,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Ayam Koloke,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Siomay,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
I Fu Mie,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
nasi goreng seafood chinese,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Aneka nasi,"Nasi Goreng dan Chinese Food Abah, Prawirotaman"
Bakso,Bakso Rahayu
Soto,Bakso Rahayu
Bakso,BAKSO URAT CAK EKA AREMA MALANG JATIM
Soto,BAKSO URAT CAK EKA AREMA MALANG JATIM
Bakso,"Soto Sapi Winong, Ngeksigondo"
Soto,"Soto Sapi Winong, Ngeksigondo"
Bakso,"Mr. Teto Sate & Soto, Perintis Kemerdekaan"
Soto,"Mr. Teto Sate & Soto, Perintis Kemerdekaan"
Sate,"Mr. Teto Sate & Soto, Perintis Kemerdekaan"
Burger,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Steak,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Pizza,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Pasta,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Fish and Chips,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Caesar Salad,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
French Fries,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Chicken Wings,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Grilled Cheese Sandwich,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Nachos,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Mac and Cheese,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Quesadilla,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Hot Dog,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Meatloaf,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Buffalo Wings,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Chicken Parmesan,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Clam Chowder,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Chicken & duck,"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta"
Chicken & duck,"Petit Paris Boulangerie and Bistro, Kotabaru"
Burger,"Petit Paris Boulangerie and Bistro, Kotabaru"
Steak,"Petit Paris Boulangerie and Bistro, Kotabaru"
Pizza,"Petit Paris Boulangerie and Bistro, Kotabaru"
Pasta,"Petit Paris Boulangerie and Bistro, Kotabaru"
Fish and Chips,"Petit Paris Boulangerie and Bistro, Kotabaru"
Caesar Salad,"Petit Paris Boulangerie and Bistro, Kotabaru"
French Fries,"Petit Paris Boulangerie and Bistro, Kotabaru"
Chicken Wings,"Petit Paris Boulangerie and Bistro, Kotabaru"
Grilled Cheese Sandwich,"Petit Paris Boulangerie and Bistro, Kotabaru"
Tacos,"Petit Paris Boulangerie and Bistro, Kotabaru"
Lasagna,"Petit Paris Boulangerie and Bistro, Kotabaru"
Ribs,"Petit Paris Boulangerie and Bistro, Kotabaru"
Nachos,"Petit Paris Boulangerie and Bistro, Kotabaru"
Mac and Cheese,"Petit Paris Boulangerie and Bistro, Kotabaru"
Quesadilla,"Petit Paris Boulangerie and Bistro, Kotabaru"
Hot Dog,"Petit Paris Boulangerie and Bistro, Kotabaru"
Meatloaf,"Petit Paris Boulangerie and Bistro, Kotabaru"
Buffalo Wings,"Petit Paris Boulangerie and Bistro, Kotabaru"
Chicken Parmesan,"Petit Paris Boulangerie and Bistro, Kotabaru"
Clam Chowder,"Petit Paris Boulangerie and Bistro, Kotabaru"
Fast food,"Petit Paris Boulangerie and Bistro, Kotabaru"
Fast food,"A&M Co. Express, Jogja"
Sushi,"A&M Co. Express, Jogja"
Sashimi,"A&M Co. Express, Jogja"
Tempura,"A&M Co. Express, Jogja"
Ramen,"A&M Co. Express, Jogja"
Udon,"A&M Co. Express, Jogja"
Soba,"A&M Co. Express, Jogja"
Okonomiyaki,"A&M Co. Express, Jogja"
Takoyaki,"A&M Co. Express, Jogja"
Tonkatsu,"A&M Co. Express, Jogja"
Yakitori,"A&M Co. Express, Jogja"
Gyoza,"A&M Co. Express, Jogja"
Onigiri,"A&M Co. Express, Jogja"
Miso Soup,"A&M Co. Express, Jogja"
Nabe,"A&M Co. Express, Jogja"
Shabu-Shabu,"A&M Co. Express, Jogja"
Sukiyaki,"A&M Co. Express, Jogja"
Teriyaki,"A&M Co. Express, Jogja"
Unagi,"A&M Co. Express, Jogja"
Tamagoyaki,"A&M Co. Express, Jogja"
Mochi,"A&M Co. Express, Jogja"
Ayam Serundeng,"Ayam Serundeng, Nitikan"
Jajanan,"Ayam Serundeng, Nitikan"
Aneka nasi,"Ayam Serundeng, Nitikan"
Bakso,"Ayam Serundeng, Nitikan"
Soto,"Ayam Serundeng, Nitikan"
Sushi,"Hakata Ikkousha, Hartono Mall"
Sashimi,"Hakata Ikkousha, Hartono Mall"
Tempura,"Hakata Ikkousha, Hartono Mall"
Ramen,"Hakata Ikkousha, Hartono Mall"
Udon,"Hakata Ikkousha, Hartono Mall"
Soba,"Hakata Ikkousha, Hartono Mall"
Okonomiyaki,"Hakata Ikkousha, Hartono Mall"
Takoyaki,"Hakata Ikkousha, Hartono Mall"
Tonkatsu,"Hakata Ikkousha, Hartono Mall"
Yakitori,"Hakata Ikkousha, Hartono Mall"
Gyoza,"Hakata Ikkousha, Hartono Mall"
Onigiri,"Hakata Ikkousha, Hartono Mall"
Miso Soup,"Hakata Ikkousha, Hartono Mall"
Nabe,"Hakata Ikkousha, Hartono Mall"
Shabu-Shabu,"Hakata Ikkousha, Hartono Mall"
Sukiyaki,"Hakata Ikkousha, Hartono Mall"
Teriyaki,"Hakata Ikkousha, Hartono Mall"
Unagi,"Hakata Ikkousha, Hartono Mall"
Tamagoyaki,"Hakata Ikkousha, Hartono Mall"
Mochi.,"Hakata Ikkousha, Hartono Mall"
Sushi,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Sashimi,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Tempura,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Ramen,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Udon,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Soba,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Okonomiyaki,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Takoyaki,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Tonkatsu,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Yakitori,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Gyoza,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Onigiri,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Miso Soup,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Nabe,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Shabu-Shabu,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Sukiyaki,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Teriyaki,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Unagi,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Tamagoyaki,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Mochi.,"Shigeru Sushi, Pakuwon Mall Yogyakarta"
Sushi,"Kimukatsu, Hartono Mall"
Sashimi,"Kimukatsu, Hartono Mall"
Tempura,"Kimukatsu, Hartono Mall"
Ramen,"Kimukatsu, Hartono Mall"
Udon,"Kimukatsu, Hartono Mall"
Soba,"Kimukatsu, Hartono Mall"
Okonomiyaki,"Kimukatsu, Hartono Mall"
Takoyaki,"Kimukatsu, Hartono Mall"
Tonkatsu,"Kimukatsu, Hartono Mall"
Yakitori,"Kimukatsu, Hartono Mall"
Gyoza,"Kimukatsu, Hartono Mall"
Onigiri,"Kimukatsu, Hartono Mall"
Miso Soup,"Kimukatsu, Hartono Mall"
Nabe,"Kimukatsu, Hartono Mall"
Shabu-Shabu,"Kimukatsu, Hartono Mall"
Sukiyaki,"Kimukatsu, Hartono Mall"
Teriyaki,"Kimukatsu, Hartono Mall"
Unagi,"Kimukatsu, Hartono Mall"
Tamagoyaki,"Kimukatsu, Hartono Mall"
Mochi.,"Kimukatsu, Hartono Mall"
Rice,"Kimukatsu, Hartono Mall"
Chicken & duck,"Kimukatsu, Hartono Mall"
Sushi,"Beef Mafia, Selokan Yogya"
Sashimi,"Beef Mafia, Selokan Yogya"
Tempura,"Beef Mafia, Selokan Yogya"
Ramen,"Beef Mafia, Selokan Yogya"
Udon,"Beef Mafia, Selokan Yogya"
Soba,"Beef Mafia, Selokan Yogya"
Okonomiyaki,"Beef Mafia, Selokan Yogya"
Takoyaki,"Beef Mafia, Selokan Yogya"
Tonkatsu,"Beef Mafia, Selokan Yogya"
Yakitori,"Beef Mafia, Selokan Yogya"
Gyoza,"Beef Mafia, Selokan Yogya"
Onigiri,"Beef Mafia, Selokan Yogya"
Miso Soup,"Beef Mafia, Selokan Yogya"
Nabe,"Beef Mafia, Selokan Yogya"
Shabu-Shabu,"Beef Mafia, Selokan Yogya"
Sukiyaki,"Beef Mafia, Selokan Yogya"
Teriyaki,"Beef Mafia, Selokan Yogya"
Unagi,"Beef Mafia, Selokan Yogya"
Tamagoyaki,"Beef Mafia, Selokan Yogya"
Mochi.,"Beef Mafia, Selokan Yogya"
Rice,"Beef Mafia, Selokan Yogya"
Fast food,"Beef Mafia, Selokan Yogya"
Chicken & duck,"Beef Mafia, Selokan Yogya"
Sushi,"Genki Sushi, Plaza Ambarrukmo"
Sashimi,"Genki Sushi, Plaza Ambarrukmo"
Tempura,"Genki Sushi, Plaza Ambarrukmo"
Ramen,"Genki Sushi, Plaza Ambarrukmo"
Udon,"Genki Sushi, Plaza Ambarrukmo"
Soba,"Genki Sushi, Plaza Ambarrukmo"
Okonomiyaki,"Genki Sushi, Plaza Ambarrukmo"
Takoyaki,"Genki Sushi, Plaza Ambarrukmo"
Tonkatsu,"Genki Sushi, Plaza Ambarrukmo"
Yakitori,"Genki Sushi, Plaza Ambarrukmo"
Gyoza,"Genki Sushi, Plaza Ambarrukmo"
Onigiri,"Genki Sushi, Plaza Ambarrukmo"
Miso Soup,"Genki Sushi, Plaza Ambarrukmo"
Nabe,"Genki Sushi, Plaza Ambarrukmo"
Shabu-Shabu,"Genki Sushi, Plaza Ambarrukmo"
Sukiyaki,"Genki Sushi, Plaza Ambarrukmo"
Teriyaki,"Genki Sushi, Plaza Ambarrukmo"
Unagi,"Genki Sushi, Plaza Ambarrukmo"
Tamagoyaki,"Genki Sushi, Plaza Ambarrukmo"
Mochi.,"Genki Sushi, Plaza Ambarrukmo"
Rice,"Genki Sushi, Plaza Ambarrukmo"
Snacks,"Genki Sushi, Plaza Ambarrukmo"
Pizza & pasta,"K'Meals Bar & Restaurant, Prawirotaman"
Beverages,"K'Meals Bar & Restaurant, Prawirotaman"
Burger,"K'Meals Bar & Restaurant, Prawirotaman"
Steak,"K'Meals Bar & Restaurant, Prawirotaman"
Pizza,"K'Meals Bar & Restaurant, Prawirotaman"
Pasta,"K'Meals Bar & Restaurant, Prawirotaman"
Fish and Chips,"K'Meals Bar & Restaurant, Prawirotaman"
Caesar Salad,"K'Meals Bar & Restaurant, Prawirotaman"
French Fries,"K'Meals Bar & Restaurant, Prawirotaman"
Chicken Wings,"K'Meals Bar & Restaurant, Prawirotaman"
Grilled Cheese Sandwich,"K'Meals Bar & Restaurant, Prawirotaman"
Tacos,"K'Meals Bar & Restaurant, Prawirotaman"
Lasagna,"K'Meals Bar & Restaurant, Prawirotaman"
Ribs,"K'Meals Bar & Restaurant, Prawirotaman"
Nachos,"K'Meals Bar & Restaurant, Prawirotaman"
Mac and Cheese,"K'Meals Bar & Restaurant, Prawirotaman"
Quesadilla,"K'Meals Bar & Restaurant, Prawirotaman"
Hot Dog,"K'Meals Bar & Restaurant, Prawirotaman"
Meatloaf,"K'Meals Bar & Restaurant, Prawirotaman"
Buffalo Wings,"K'Meals Bar & Restaurant, Prawirotaman"
Chicken Parmesan,"K'Meals Bar & Restaurant, Prawirotaman"
Clam Chowder,"K'Meals Bar & Restaurant, Prawirotaman"
Rice,"Ganbate Kitchen, Widya Mataram"
Chicken & duck,"Ganbate Kitchen, Widya Mataram"
Sushi,"Ganbate Kitchen, Widya Mataram"
Sashimi,"Ganbate Kitchen, Widya Mataram"
Tempura,"Ganbate Kitchen, Widya Mataram"
Ramen,"Ganbate Kitchen, Widya Mataram"
Udon,"Ganbate Kitchen, Widya Mataram"
Soba,"Ganbate Kitchen, Widya Mataram"
Okonomiyaki,"Ganbate Kitchen, Widya Mataram"
Takoyaki,"Ganbate Kitchen, Widya Mataram"
Tonkatsu,"Ganbate Kitchen, Widya Mataram"
Yakitori,"Ganbate Kitchen, Widya Mataram"
Gyoza,"Ganbate Kitchen, Widya Mataram"
Onigiri,"Ganbate Kitchen, Widya Mataram"
Miso Soup,"Ganbate Kitchen, Widya Mataram"
Nabe,"Ganbate Kitchen, Widya Mataram"
Shabu-Shabu,"Ganbate Kitchen, Widya Mataram"
Sukiyaki,"Ganbate Kitchen, Widya Mataram"
Teriyaki,"Ganbate Kitchen, Widya Mataram"
Unagi,"Ganbate Kitchen, Widya Mataram"
Tamagoyaki,"Ganbate Kitchen, Widya Mataram"
Mochi,"Ganbate Kitchen, Widya Mataram"
Rice,"AB Oriental Streetfood, Pedak"
Fast food,"AB Oriental Streetfood, Pedak"
Sushi,"AB Oriental Streetfood, Pedak"
Sashimi,"AB Oriental Streetfood, Pedak"
Tempura,"AB Oriental Streetfood, Pedak"
Ramen,"AB Oriental Streetfood, Pedak"
Udon,"AB Oriental Streetfood, Pedak"
Soba,"AB Oriental Streetfood, Pedak"
Okonomiyaki,"AB Oriental Streetfood, Pedak"
Takoyaki,"AB Oriental Streetfood, Pedak"
Tonkatsu,"AB Oriental Streetfood, Pedak"
Yakitori,"AB Oriental Streetfood, Pedak"
Gyoza,"AB Oriental Streetfood, Pedak"
